date,amount,category
2024-11-04,1504,Bills
2024-04-27,914,Bills
2024-04-22,1686,Food
2024-07-13,1937,Transport
2024-09-20,1042,Shopping
2024-10-14,1151,Bills
2024-05-06,1011,Shopping
2024-06-01,342,Education
2024-07-06,471,Education
2024-04-02,716,Transport
2024-10-14,933,Education
2024-09-25,1812,Education
2024-11-05,1069,Bills
2024-09-20,1717,Bills
2024-09-08,252,Shopping
2024-05-27,1131,Shopping
2024-02-11,644,Transport
2024-08-15,864,Bills
2024-04-27,1711,Shopping
2024-06-27,1627,Food
2024-01-14,365,Food
2024-05-22,1021,Shopping
2024-12-20,96,Shopping
2024-12-09,759,Bills
2024-08-04,841,Food
2024-02-10,429,Food
2024-08-02,1344,Food
2024-06-02,165,Entertainment
2024-10-19,453,Entertainment
2024-02-22,1046,Transport
2024-11-14,1751,Bills
2024-04-18,282,Transport
2024-08-23,294,Education
2024-09-24,659,Bills
2024-04-25,682,Food
2024-04-08,154,Transport
2024-05-24,1732,Shopping
2024-02-24,974,Bills
2024-11-03,1453,Groceries
2024-11-11,1609,Entertainment
2024-03-02,1121,Food
2024-12-19,1190,Entertainment
2024-09-30,1581,Transport
2024-03-05,389,Education
2024-11-22,560,Shopping
2024-03-14,516,Education
2024-11-12,1945,Entertainment
2024-01-17,1006,Education
2024-07-25,844,Food
2024-01-04,1308,Bills
2024-02-05,1835,Bills
2024-08-01,1945,Food
2024-04-10,1392,Transport
2024-02-04,168,Entertainment
2024-11-21,1816,Entertainment
2024-05-17,1992,Transport
2024-01-07,1303,Shopping
2024-02-16,1611,Education
2024-09-06,1296,Shopping
2024-10-27,1803,Transport
2024-11-16,69,Shopping
2024-09-09,240,Food
2024-08-13,1180,Education
2024-04-01,1513,Education
2024-11-25,233,Transport
2024-02-06,1675,Education
2024-07-22,736,Entertainment
2024-03-16,296,Shopping
2024-06-18,1241,Shopping
2024-06-29,1418,Education
2024-03-04,362,Entertainment
2024-08-03,127,Transport
2024-02-09,570,Bills
2024-12-14,1733,Education
2024-03-09,1293,Shopping
2024-12-11,1131,Shopping
2024-06-06,412,Education
2024-10-30,1936,Food
2024-01-17,241,Education
2024-02-08,1659,Groceries
2024-05-24,549,Shopping
2024-03-15,206,Education
2024-11-16,1669,Transport
2024-09-17,1721,Bills
2024-10-15,1070,Bills
2024-06-21,1429,Entertainment
2024-11-26,810,Groceries
2024-03-09,1520,Shopping
2024-10-11,1344,Education
2024-05-13,1920,Transport
2024-11-23,250,Food
2024-10-03,1476,Transport
2024-09-14,405,Education
2024-01-23,1510,Transport
2024-12-12,627,Groceries
2024-05-21,1502,Education
2024-04-20,430,Entertainment
2024-08-10,1112,Entertainment
2024-12-05,947,Food
2024-02-14,1820,Education
2024-03-23,1531,Transport
2024-11-05,1779,Food
2024-12-20,1126,Bills
2024-10-24,1314,Groceries
2024-05-13,1360,Bills
2024-11-17,647,Bills
2024-01-15,88,Education
2024-08-26,1742,Groceries
2024-06-05,972,Bills
2024-02-26,379,Education
2024-07-02,997,Bills
2024-11-05,1417,Entertainment
2024-04-19,916,Groceries
2024-11-12,333,Food
2024-07-24,179,Groceries
2024-09-18,1491,Entertainment
2024-06-28,1591,Transport
2024-09-10,1925,Food
2024-08-20,148,Food
2024-12-13,1074,Shopping
2024-03-24,1023,Education
2024-12-29,547,Groceries
2024-12-04,54,Transport
2024-04-20,1956,Transport
2024-11-03,872,Shopping
2024-04-09,1910,Shopping
2024-02-10,1067,Food
2024-04-23,875,Shopping
2024-09-10,1362,Shopping
2024-10-02,182,Entertainment
2024-10-04,1831,Bills
2024-11-05,1300,Bills
2024-09-21,291,Food
2024-07-28,1422,Education
2024-08-21,1409,Entertainment
2024-07-20,140,Shopping
2024-11-19,1232,Entertainment
2024-11-19,1057,Bills
2024-03-29,181,Transport
2024-07-10,1495,Transport
2024-01-31,1726,Groceries
2024-08-02,84,Shopping
2024-07-04,164,Education
2024-07-13,795,Bills
2024-01-12,136,Entertainment
2024-03-26,1383,Entertainment
2024-11-18,1341,Shopping
2024-07-21,1877,Groceries
2024-08-07,517,Transport
2024-07-16,1800,Education
2024-08-05,1192,Entertainment
2024-10-06,508,Groceries
2024-03-19,569,Entertainment
2024-01-04,124,Transport
2024-05-18,1967,Transport
2024-10-10,935,Entertainment
2024-06-22,1100,Entertainment
2024-11-11,1731,Groceries
2024-01-15,603,Bills
2024-06-08,496,Groceries
2024-04-20,277,Transport
